Soru_No,Soru_Metni
1,Bedeninizin herhangi bir yerinde uyuşma veya karıncalanma
2,Sıcak basması veya ateş basmaları
3,Bacaklarda halsizlik veya titreme hissi
4,Kaslarınızı gevşetememe veya rahatlayamama
5,Çok kötü bir şey olacakmış gibi hissetme veya endişe duyma
6,"Baş dönmesi, sersemlik ya da denge kaybı hissi"
7,Kalp çarpıntısı veya kalbin hızlı atması
8,Dehşete kapılma ya da yoğun korku anları yaşama
9,"Sinirlilik, huzursuzluk veya çabuk öfkelenme"
10,Boğuluyormuş gibi olma hissi veya nefes almakta zorlanma
11,Ellerde titreme veya genel titreklik
12,Kontrolü kaybedecekmiş gibi olma korkusu
13,Ölüm korkusu
14,"Mide rahatsızlığı, hazımsızlık ya da ani tuvalet ihtiyacı"
15,Baygınlık hissi veya bayılacakmış gibi olma
16,Yüzde kızarma veya ani sıcaklık değişimleri
17,Terleme (sıcaklıkla ilgili olmayan)
18,"Zihin karışıklığı, tükenmişlik hissi ya da dikkat dağınıklığı"
19,Görme bulanıklığı
20,"Uyku problemleri (uyuyamama, sık uyanma, dinlenememe)"
