Soru_No,Soru_Metni
1,Sık sık panik nöbetleri geçiririm.
2,Son zamanlarda beni duygusal olarak etkileyen bir şey olmadı.
3,Çoğu kez gerçekte kim olduğumu merak ederim.
4,Çoğu kez başıma iş açacak riskli davranışlarda bulunurum.
5,Başkaları bana yoğun ilgi gösterdiğinde kendimi boğulmuş hissederim.
6,Bazen içimde bana ait olmayan başka bir kişi ortaya çıkar gibi hissederim.
7,"Gerçekte olmadığı halde acayip şekiller, görüntüler veya insanların ve nesnelerin görünüşlerinin değiştiğini gördüğüm/hissettiğim oldu."
8,Bazen çevremdeki insanlar ve nesnelerin gerçek olmadığını hissederim.
9,Başkalarına yönelik duygularım çok hızlı ve uçtan uca değişir (örneğin sevgi ile nefret arasında).
10,Çoğu kez değersizlik ya da umutsuzluk hissine kapılırım.
11,Çoğu kez paramı çarçur ederim ya da kumar oynarım.
12,Gerçekte kimse olmadığı halde hakkımda konuşan sesler duydum.
13,"Gerçekte kimse olmadığı halde bazen içimden bir ses, bazen de dışarıdan bir ses duyduğum oldu."
14,Yakın ilişkilerde hep incinirim.
15,Bana uymayan biçimde hissettiğim ya da davrandığım oldu.
16,Bir kukla gibi dışarıdan yönetiliyormuş ve yönlendiriliyormuş gibi hissettiğim oldu.
17,Herhangi birine fiziksel olarak saldırıda bulunduğum oldu.
18,Düşüncelerim başkaları tarafından okunuyormuş gibi hissettiğim oldu.
19,"Bazen gerçekte suç işlemediğim halde, sanki işlemişim gibi suçluluk hissederim."
20,Bilerek kendime bedensel zarar verdiğim oldu.
21,Bazen gerçekte olmadığı halde insanların ve nesnelerin görünümlerinin değiştiği hissine kapılırım.
22,Yoğun dini uğraşlarım olmuştur.
23,Duygusal ilişkilerimde çoğunlukla ne tür bir ilişki istediğimden emin olamam.
24,Bazen bir kahin gibi gelecekle ilgili özel hislerim olur.
25,Bir ilişki ilerledikçe kendimi kapana kısılmış gibi hissederim.
26,Gerçekte kimse olmadığı halde bir başka insanın varlığını hissettiğim oldu.
27,Bazen bedenim ya da bedenimin bir kısmı bana acayip veya değişmiş gibi görünür.
28,"İlişkiler çok ilerlerse, çoğunlukla koparma gereksinimi duyarım."
29,Bazen birilerinin peşimde olduğu hissine kapılırım.
30,"Sık sık uyuşturucu kullanırım (esrar, hap gibi)."
31,Başkalarını kontrol altında tutmaktan hoşlanırım.
32,Bazen özel biri olduğumu hissederim.
33,Bazen dağılıyormuşum gibi hissederim.
34,Bazen bana bir şeyin gerçekte mi yoksa yalnızca hayalimde mi olduğunu ayırt etmek zor gelir.
35,Çoğu kez sonuçlarını düşünmeden içimden geldiği gibi davranırım.
36,Bazen gerçek olmadığım duygusuna kapılırım.
37,Bazen bedenim yokmuş ya da bir kısmı eksikmiş hissine kapılırım.
38,Çoğu kez kabus görürüm.
39,Çoğu kez başkaları bana gülüyormuş ya da hakkımda konuşuyormuş hissine kapılırım.
40,Çoğu kez insanlar bana düşmanmış gibi gelir.
41,İnsanların kendi düşüncelerini benim zihnime soktuklarını hissettiğim oldu.
42,Çoğu kez gerçekten ne istediğimi bilmem.
43,Geçmişte intihar girişiminde bulundum.
44,Bazen ciddi bir hastalığım olduğuna inanırım.
45,"Alkol, uyuşturucu ya da hap alışkanlığım vardır."
46,Bazen bir rüyada yaşıyormuş ya da yaşamım bir film şeridi gibi gözümün önünden geçiyormuş hissine kapılırım.
47,Çoğu kez bir şeyler çalarım.
48,Bazen öyle açlık nöbetlerim olur ki önüme gelen her şeyi silip süpürürüm.
49,"Politika, din, ahlak (iyi-kötü) konularıyla ilgili sorularda çoğu kez kendimi rahatsız hissederim."
50,Bazen aklımdan birilerini öldürme düşüncesi geçer.
51,Yasalarla başımın derde girdiği oldu.
52,Geçmişte yukarıdaki deneyimlerden herhangi birini ilaç etkisi altında yaşadınız mı?
53,Geçmişte yukarıdaki deneyimlerden herhangi birini psikoterapi sırasında yaşadınız mı?
