Soru_No,Soru_Metni
1,"Kendimi özel, önemli ve diğer insanlardan üstün biri olarak görürüm."
2,"Büyük başarılar, zenginlik ya da ün elde edeceğime dair sık sık hayaller kurarım."
3,Genellikle başarılarımı olduğundan büyük gösteririm ya da başarı elde etmişim gibi davranırım.
4,Bir toplulukta dikkatleri üzerime çekmekten ve övgü almaktan hoşlanırım.
5,"İnsanların beni fark etmesini, özel davranmasını ve takdir etmesini beklerim."
6,Liderlik rollerinde kendimi rahat hissederim ve başkalarını yönetme konusunda iyiyimdir.
7,Başarılı olmak için güçlü bir motivasyona sahibim.
8,"İnsanların çoğundan daha yetenekli, daha zeki ya da daha becerikli olduğuma inanırım."
9,"Başkalarının duygularına, ihtiyaçlarına veya sorunlarına genellikle ilgisizimdir."
10,İnsanları sadece bana faydası olduğu sürece dinlerim ya da dikkate alırım.
11,Sempati ya da empati göstermek benim için zordur.
12,Kendi hedeflerime ulaşmak için insanları kullanmakta ya da yönlendirmekte başarılıyımdır.
13,İnsanları kolayca etkileyebileceğime ya da yönlendirebileceğime inanırım.
14,Benden aşağı gördüğüm kişilerle vakit geçirmek istemem.
15,Eleştirildiğimde dışarıdan sakin görünsem de içten içe kırılırım.
16,Haksızlığa uğradığımı sık sık düşünürüm.
17,Eleştiriler karşısında öfkemi kontrol etmekte zorlandığım olur.
18,Kendime güvenimi korumak için başkalarının onayına ya da iltifatına ihtiyaç duyarım.
19,Başkalarının benim hakkımda ne düşündüğüyle fazlasıyla ilgilenirim.
20,Beni yeterince takdir etmediklerinde ciddi biçimde rahatsız olurum.
21,Başkalarının başarısı beni kıskandırır veya rahatsız eder.
22,Rekabeti severim ama kaybetmeye tahammül edemem.
23,Kendimden daha başarılı olanları küçümsemeye eğilimliyimdir.
24,Kuralların bazen benim için esnetilmesi gerektiğini düşünürüm.
25,"Adalet ya da eşitlikten çok, ayrıcalık kazanmayı önemserim."
