Soru_No,Soru_Metni
1,Hazırlık yapmadan bir toplantıda ya da kalabalık içinde söz alıp konuşmam gerektiğinde kendimi kaygılı hissederim.
2,"Seyirci önünde konuşmak, hareket etmek ya da performans sergilemek beni kaygılandırır."
3,Bir grubun dikkatinin tamamen üzerimde olması beni tedirgin eder.
4,Bir gruba önceden hazırlanmış sözlü bilgi sunmam gerektiğinde kaygılanırım.
5,Birisi beni izlerken çalışmak beni rahatsız eder.
6,Gözlendiğimi bilerek yazı yazmak beni gerer.
7,"Yeteneklerimin veya bilgilerimin sınanması (örneğin test, sunum, performans) beni kaygılandırır."
8,Tanımadığım bir kişiyle yüz yüze konuşmakta zorlanırım.
9,Tanımadığım bir kişiyi telefonla aramak ya da onunla telefonda konuşmak beni tedirgin eder.
10,Konuşurken ne söyleyeceğimi bilememekten korkarım.
11,Başkalarıyla konuşmakta genel olarak zorlanırım.
12,Garip göründüğümü düşündüğümde kendimi ifade etmekte zorlanırım.
13,Farklı bir görüşte olduğumda bunu ifade etmekte zorlanırım.
14,Tanımadığım bir kişinin gözlerinin içine bakmak beni kaygılandırır.
15,Az tanıdığım biriyle selamlaşmak konusunda kararsızlık yaşarım.
16,Sosyal ortamlarda biriyle yalnız kalmak beni gerer.
17,Karşı cinsten hoşlandığım biriyle konuşmak beni çok kaygılandırır.
18,Romantik veya cinsel bir ilişki başlatmak amacıyla biriyle tanışmaya çalışmak benim için zordur.
19,"Öğretmen, yönetici veya başka bir otoriteyle konuşmak beni gerer."
20,Yetkili birinden bir şey istemek veya şikâyet dile getirmekten kaçınırım.
21,Satın aldığım bir ürünü iade etmekten çekinirim.
22,Yabancılarla konuşmak beni kaygılandırır.
23,Israrcı bir satış temsilcisine karşı koymakta zorlanırım.
24,Umumi telefonları kullanmak benim için kaygı vericidir.
25,Sosyal ortamlarda hislerim hakkında konuşmak beni gerer.
26,"Umumi yerlerde (restoran, kafe vb.) yemek yemek beni rahatsız eder."
27,Toplum içinde bir şeyler içmekten kaçınırım.
28,Umumi tuvaletleri kullanmak benim için zordur.
29,"Eğlence, parti, doğum günü gibi sosyal etkinliklere katılmak beni kaygılandırır."
30,"Sosyal ortamlarda rahat davranamam, gergin hissederim."
31,Evde misafir ağırlamak beni tedirgin eder.
32,Küçük grup aktivitelerine katılmakta zorlanırım.
33,Sosyal ortamlarda önemsenmemekten endişe duyarım.
34,Yaşıtlarımla arkadaşlık kurmak benim için kolay değildir.
35,Tanıdığım birini sokakta görünce selam verip konuşmakta zorlanırım.
36,Tanımadığım insanların olduğu ortamlara karışmak beni kaygılandırır.
37,Bir grup içinde yer almak konusunda gerginlik yaşarım.
38,Bir gruba dahil olduğumda önemsenmeme korkusu yaşarım.
39,Sosyal ortamlarda utandırıcı bir şey söyleme korkusu yaşarım.
40,Sosyal olarak hata yapma korkusu beni engeller.
41,İnsanların benimle ilgili ne düşündüğünü fazla önemserim.
42,Başkaları içerideyken bir odaya girmek beni gerer.
43,Sizin için oturulmuş bir odaya sonradan girmekten çekinirim.
44,Bir parti düzenlemek ya da organizasyon yapmak beni kaygılandırır.
45,Birlikte çalıştığım insanlarla bir araya gelmekte zorlanırım.
